date,amount,category,description,is_expense,amount_abs
,3888.0,educaton,Movie tickets,False,3888.0
,649.0,housing,asdfgh,False,649.0
,13239.0,freelance,Books,False,13239.0
,6299.0,fod,Electricity bill,False,6299.0
,2287.0,entertainment,nan,False,2287.0
,4168.0,foods,test,False,4168.0
,62061.0,income,...,False,62061.0
,59543.0,others,Gym membership,False,59543.0
,999999999.0,utilties,nan,False,999999999.0
,5767.0,utlities,nan,False,5767.0
,23760.0,housing,Electricity bill,False,23760.0
,898.0,food,Restaurant dinner,False,898.0
,25143.0,freelance,nan,False,25143.0
,9567.0,housing,ATM withdrawal,False,9567.0
1982-01-01,49683.0,others,xyz123,False,49683.0
1982-01-01,222.0,food,misc,False,222.0
1982-01-01,7406.0,food,xyz123,False,7406.0
1982-01-01,3010.0,housing,nan,False,3010.0
1982-01-01,4846.0,health,Books,False,4846.0
1982-01-01,855881.0,income,nan,False,855881.0
1982-01-01,4452.0,food,nan,False,4452.0
1982-01-01,2206.0,foods,xyz123,False,2206.0
1982-01-01,7038.0,entertainment,Gym membership,False,7038.0
1982-01-01,4286.0,travl,nan,False,4286.0
1982-01-01,8119.0,education,Books,False,8119.0
1982-01-01,19947.0,investment,Coffee,False,19947.0
1982-01-01,3865.0,foodd,nan,False,3865.0
1982-01-01,2407.0,travel,Internet bill,False,2407.0
1982-01-01,3085.0,food,Electricity bill,False,3085.0
1982-01-01,5252.0,health,Online course,False,5252.0
1982-01-01,4823.0,others,...,False,4823.0
1982-01-01,8497.0,helth,Gym membership,False,8497.0
1982-01-01,999999.0,foods,nan,False,999999.0
2003-01-01,8241.0,travel,Movie tickets,False,8241.0
2003-01-01,8579.0,housing,...,False,8579.0
2003-01-01,235.0,foods,ATM withdrawal,False,235.0
2003-01-01,1263.0,foodd,nan,False,1263.0
2003-01-01,2134.0,health,Books,False,2134.0
2003-01-01,2228.0,education,Movie tickets,False,2228.0
2003-01-01,1081.0,utilities,nan,False,1081.0
2003-01-01,371.0,entertainment,Uber ride,False,371.0
2003-01-01,225.0,food,!!!,False,225.0
2003-01-01,23776.0,housing,Doctor consultation,False,23776.0
2003-01-01,6707.0,health,nan,False,6707.0
2003-01-01,601.0,utlities,Medicine,False,601.0
2003-01-01,3219.0,others,Internet bill,False,3219.0
2003-01-01,8182.0,rnt,test,False,8182.0
2003-01-01,8111.0,savings,Grocery shopping,False,8111.0
2003-01-01,3110.0,edu,Doctor consultation,False,3110.0
2003-01-01,4277.0,foodd,Train ticket,False,4277.0
2003-01-01,3047.0,foods,Grocery shopping,False,3047.0
2003-01-01,10183.0,freelance,nan,False,10183.0
2003-01-01,9888.0,travel,Shopping,False,9888.0
2003-01-01,7217.0,housing,Internet bill,False,7217.0
2003-01-01,9725.0,education,Restaurant dinner,False,9725.0
2003-01-01,9648.0,entertainment,!!!,False,9648.0
2003-01-01,1643.0,traval,Petrol,False,1643.0
2003-01-01,70075.0,freelance,Gym membership,False,70075.0
2003-01-01,6228.0,nan,nan,False,6228.0
2003-01-01,1206.0,educaton,Shopping,False,1206.0
2225-01-01,8204.0,education,!!!,False,8204.0
2225-01-01,9771.0,health,Petrol,False,9771.0
2225-01-01,20509.0,housing,Train ticket,False,20509.0
2225-01-01,62193.0,bonus,Electricity bill,False,62193.0
2225-01-01,3367.0,utility,Monthly rent payment,False,3367.0
2225-01-01,2721.0,health,EMI payment,False,2721.0
2225-01-01,2962.0,housing,Books,False,2962.0
2225-01-01,8283.0,travel,...,False,8283.0
2225-01-01,3520.0,utilities,test,False,3520.0
2225-01-01,5524.0,travel,Fixed deposit,False,5524.0
2225-01-01,1800.0,entertainment,Internet bill,False,1800.0
1841-01-01,57173.0,others,nan,False,57173.0
1841-01-01,2966.0,rnt,EMI payment,False,2966.0
1841-01-01,1004.0,entertain,nan,False,1004.0
1841-01-01,9154.0,travel,...,False,9154.0
1841-01-01,2637.0,food,Fixed deposit,False,2637.0
1841-01-01,1073.0,food,nan,False,1073.0
1841-01-01,425.0,foods,Petrol,False,425.0
1841-01-01,34145.0,bonus,!!!,False,34145.0
1841-01-01,527.0,utilties,nan,False,527.0
1841-01-01,5195.0,saving,Grocery shopping,False,5195.0
1841-01-01,3143.0,entrtnmnt,Books,False,3143.0
1841-01-01,2135.0,travel,Medicine,False,2135.0
1841-01-01,2163.0,foodd,Doctor consultation,False,2163.0
1841-01-01,42078.0,housing,nan,False,42078.0
1841-01-01,2778.0,foods,...,False,2778.0
1841-01-01,3929.0,health,Shopping,False,3929.0
1841-01-01,23852.0,freelance,Coffee,False,23852.0
1841-01-01,49639.0,bonus,Online course,False,49639.0
1841-01-01,3150.0,education,Coffee,False,3150.0
1841-01-01,9408.0,helth,Electricity bill,False,9408.0
1841-01-01,4114.0,entertain,Fixed deposit,False,4114.0
1841-01-01,9681.0,travel,Online course,False,9681.0
1990-01-01,3011.0,travel,Grocery shopping,False,3011.0
1990-01-01,3150.0,health,nan,False,3150.0
1990-01-01,32789.0,bonus,Lunch,False,32789.0
1990-01-01,6704.0,utility,Doctor consultation,False,6704.0
1990-01-01,3121.0,entertainment,Grocery shopping,False,3121.0
1990-01-01,3802.0,food,Petrol,False,3802.0
1990-01-01,544.0,education,Lunch,False,544.0
1990-01-01,9053.0,travel,...,False,9053.0
1990-01-01,32381.0,freelance,...,False,32381.0
1990-01-01,8841.0,utility,nan,False,8841.0
1990-01-01,46219.0,investment,nan,False,46219.0
1990-01-01,4451.0,utilties,...,False,4451.0
1882-01-01,9358.0,education,nan,False,9358.0
1882-01-01,3569.0,housing,Online course,False,3569.0
1882-01-01,2979.0,rnt,Medicine,False,2979.0
1882-01-01,34984.0,housing,Petrol,False,34984.0
1882-01-01,44031.0,investment,Online course,False,44031.0
1882-01-01,8861.0,savings,...,False,8861.0
1882-01-01,47473.0,housing,Online course,False,47473.0
1882-01-01,75822.0,investment,Medicine,False,75822.0
